spec,N,f,S,S',d,err,out
BenOrAbstByzCC.tla,6,1,1741222,423736,39,,BenOrAbstByzCC_N6F1.out
BenOrAbstByzCC.tla,7,1,7740422,1574444,45,,BenOrAbstByzCC_N7F1.out
BenOrAbstByzCC.tla,8,1,42582528,6641760,51,,BenOrAbstByzCC_N8F1.out
BenOrAbstByzCC.tla,9,1,217926026,29694106,57,,BenOrAbstByzCC_N9F1.out
BenOrAbstByzCCH.tla,6,1,3648346,901582,45,,BenOrAbstByzCCH_N6F1.out
BenOrAbstByzCCL.tla,6,1,793978,167232,38,,BenOrAbstByzCCL_N6F1.out
BenOrAbstByzCCL.tla,7,1,3741670,637304,44,,BenOrAbstByzCCL_N7F1.out
BenOrAbstByzCCL.tla,8,1,47416348,5695536,50,,BenOrAbstByzCCL_N8F1.out
BenOrAbstByzCCL.tla,9,1,255851610,25858878,56,,BenOrAbstByzCCL_N9F1.out
BenOrAbstByzCCLH.tla,6,1,1509736,326062,44,,BenOrAbstByzCCLH_N6F1.out
BenOrAbstByzCCLRst.tla,6,1,477664,120694,38,,BenOrAbstByzCCLRst_N6F1.out
BenOrAbstByzCCLRst.tla,7,1,2227578,470896,44,,BenOrAbstByzCCLRst_N7F1.out
BenOrAbstByzCCLRst.tla,8,1,31010266,5553654,50,,BenOrAbstByzCCLRst_N8F1.out
BenOrAbstByzCCLRst.tla,9,1,160511850,25297562,56,,BenOrAbstByzCCLRst_N9F1.out
BenOrAbstByzCCLRstH.tla,6,1,849322,216742,44,,BenOrAbstByzCCLRstH_N6F1.out
BenOrMsgsByzCC.tla,6,1,5372454,1174606,45,,BenOrMsgsByzCC_N6F1.out
BenOrMsgsByzCC.tla,7,1,42655772,8017126,52,,BenOrMsgsByzCC_N7F1.out
BenOrMsgsByzCC.tla,8,1,400710394,57229752,59,,BenOrMsgsByzCC_N8F1.out
BenOrMsgsByzCC.tla,9,1,2734944408,358776292,66,,BenOrMsgsByzCC_N9F1.out
BenOrMsgsByzCCH.tla,6,1,5199934,901582,45,,BenOrMsgsByzCCH_N6F1.out
BenOrMsgsByzCCL.tla,6,1,3762514,552202,45,,BenOrMsgsByzCCL_N6F1.out
BenOrMsgsByzCCL.tla,7,1,33059388,3766026,52,,BenOrMsgsByzCCL_N7F1.out
BenOrMsgsByzCCL.tla,8,1,311618372,26415494,59,,BenOrMsgsByzCCL_N8F1.out
BenOrMsgsByzCCL.tla,9,1,2357787352,166795764,66,,BenOrMsgsByzCCL_N9F1.out
BenOrMsgsByzCCLH.tla,6,1,2060884,326062,44,,BenOrMsgsByzCCLH_N6F1.out
BenOrMsgsByzCCLRst.tla,6,1,1374652,334910,45,,BenOrMsgsByzCCLRst_N6F1.out
BenOrMsgsByzCCLRst.tla,7,1,10753804,2153678,52,,BenOrMsgsByzCCLRst_N7F1.out
BenOrMsgsByzCCLRst.tla,8,1,112084660,19092620,59,,BenOrMsgsByzCCLRst_N8F1.out
BenOrMsgsByzCCLRst.tla,9,1,746174594,110739880,66,,BenOrMsgsByzCCLRst_N9F1.out
BenOrMsgsByzCCLRstH.tla,6,1,1202950,216742,44,,BenOrMsgsByzCCLRstH_N6F1.out
